ECP,RC,MIN,MAX,MEAN,START,END,DURATION,CV,A1,A2,A3,A4,FP,FP_LG,FP_KNN,FP_SVM,VERDICT
3005FB63AC1F3681EC88116670,2,-59.0,-58.0,-58.5,1581427432922935,1581427433018425,95490,-0.008547008547008548,2,0,0,0,0,0,0,0,0
E2806890000000001834316B28,4,-63.0,-60.5,-61.875,1581419885129167,1581419885622230,493063,-0.015517466157310318,0,4,0,0,0,0,0,0,0
3005FB63AC1F3681EC8811B071,11,-63.0,-55.5,-60.0,1581427320024874,1581427322295624,2270750,-0.03908679799852858,6,0,5,0,0,0,0,0,0
E280689000000000183445D523,2,-68.0,-66.5,-67.25,1581420885325355,1581420885358771,33416,-0.011152416356877323,0,0,2,0,0,0,0,0,0
3005FB63AC1F3681EC88131827,13,-64.0,-54.5,-58.115384615384606,1581419571220748,1581419574470949,3250201,-0.050636291895138505,9,0,4,0,0,0,0,0,0
3005FB63AC1F3681EC88150129,1,-62.5,-62.5,-62.5,1581419787322115,1581419787322115,0,-0.0,0,1,0,0,0,0,0,0,0
3005FB63AC1F3681EC8805A532,3,-57.5,-52.5,-54.5,1581414922433307,1581414923434605,1001298,-0.039637557788427286,3,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8805A925,2,-58.0,-57.0,-57.5,1581420219147941,1581420219252529,104588,-0.008695652173913044,0,0,2,0,0,0,0,0,0
2005FB63AC1F3681AB1004E326,3,-66.0,-58.0,-61.0,1581420115598818,1581420118427575,2828757,-0.05834468990181045,1,0,2,0,0,0,0,0,0
2005FB63EAC13681E4EC0F4C32,2,-59.5,-57.5,-58.5,1581414923049872,1581414923103485,53613,-0.017094017094017096,2,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88150176,4,-57.0,-56.0,-56.25,1581429726676544,1581429727123282,446738,-0.00769800358919501,0,4,0,0,0,0,0,0,0
E280689000000000183432A027,1,-66.5,-66.5,-66.5,1581419574730778,1581419574730778,0,-0.0,0,0,1,0,0,0,0,0,0
E28068900000000018344AC56869,2,-51.0,-49.0,-50.0,1581427723352060,1581427723453052,100992,-0.02,0,2,0,0,0,0,0,0,0
7336CEF1C1FE3682DEA100496869,2,-58.5,-58.0,-58.25,1581427723370094,1581427723445029,74935,-0.004291845493562232,0,2,0,0,0,0,0,0,0
3005FB63AC1F3681EC88145868,4,-50.5,-48.5,-49.375,1581427698451750,1581427699030826,579076,-0.01497741717240409,0,4,0,0,0,0,0,0,0
3005FB63AC1F3681EC88150125,2,-62.0,-56.0,-59.0,1581420218109574,1581420218355066,245492,-0.05084745762711865,1,0,1,0,0,0,0,0,0
2005FB63EAC13681E4EC0FEC27,4,-57.5,-53.0,-55.625,1581419573039025,1581419573717122,678097,-0.03201754348039328,0,0,4,0,0,0,0,0,0
3005FB63AC1F3681EC8814B627,4,-57.0,-52.5,-54.75,1581419573081819,1581419573688382,606563,-0.0332425109099567,0,0,4,0,0,0,0,0,0
2005FB63EAC13681E4EC0F4C70,8,-61.5,-57.0,-58.9375,1581427432673242,1581427433660280,987038,-0.028276334307472714,2,2,4,0,0,0,0,0,0
3005FB63AC1F3681EC8811666869,2,-53.5,-52.5,-53.0,1581427723915380,1581427724014796,99416,-0.009433962264150943,0,2,0,0,0,0,0,0,0
2005FB63EAC13681E4EC0F4B23,8,-61.0,-50.5,-55.0,1581420883781738,1581420885164716,1382978,-0.05785419118799025,8,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88149C3,3,-61.5,-59.0,-60.16666666666666,1581422460958042,1581422461240710,282668,-0.017075939066396057,3,0,0,0,1,0,1,0,0
E28068900000000018343C5170,1,-63.0,-63.0,-63.0,1581427432275263,1581427432275263,0,-0.0,1,0,0,0,0,0,0,0,0
90134BC1F1CE3781AEA1000128,2,-61.0,-61.0,-61.0,1581419885937456,1581419886012154,74698,-0.0,0,2,0,0,0,0,0,0,0
E2806890000000001834531771,67,-65.5,-58.5,-59.99253731343283,1581427317201253,1581427325917873,8716620,-0.018635802592414485,67,0,0,0,1,1,1,1,1
3005FB63AC1F3681EC88141F29,8,-59.0,-55.5,-57.0,1581419788262603,1581419789456011,1193408,-0.02009901620594667,0,5,3,0,0,0,0,0,0
90134BC1F1CE3781AEA1001073,2,-59.5,-59.5,-59.5,1581426582266766,1581426582359063,92297,-0.0,2,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8805A973,4,-57.5,-56.5,-57.125,1581426583049369,1581426583614972,565603,-0.007257384661609191,0,0,4,0,0,0,0,0,0
3005FB63AC1F3681EC8805A935,4,-64.5,-58.5,-61.125,1581414353771788,1581414354500060,728272,-0.0406433679230098,0,4,0,0,0,0,0,0,0
2005FB63AC1F3681AB1004E375,13,-61.5,-57.5,-59.46153846153846,1581429874853079,1581429877525086,2672007,-0.02149191167637277,1,8,4,0,0,0,0,0,0
E2806890000000001834376728,3,-63.0,-61.5,-62.33333333333334,1581419885511374,1581419885904792,393418,-0.010004431515438344,0,3,0,0,0,0,0,0,0
E280689000000000183444A426,1,-67.0,-67.0,-67.0,1581420118398455,1581420118398455,0,-0.0,1,0,0,0,0,0,0,0,0
E2806890000000001834376028,2,-62.0,-61.5,-61.75,1581419885512476,1581419885633401,120925,-0.004048582995951417,0,2,0,0,0,0,0,0,0
E2806890000000001834498A25,1,-61.0,-61.0,-61.0,1581420218237411,1581420218237411,0,-0.0,1,0,0,0,0,0,0,0,0
2005FB63EAC13681E4EC0FE925,6,-60.5,-56.5,-58.91666666666666,1581420218272959,1581420219275606,1002647,-0.02159029352542256,3,0,3,0,0,0,0,0,0
7336CEF1C1FE3682DEA1004B27,2,-53.5,-52.5,-53.0,1581419574114592,1581419574245005,130413,-0.009433962264150943,0,0,2,0,0,0,0,0,0
3005FB63AC1F3681EC88155C29,4,-61.0,-57.0,-58.875,1581419786860235,1581419787660387,800152,-0.02840570734662346,4,0,0,0,0,0,0,0,0
