Timestamp, EPC, Antenna, RSSI, Channel, Address
1579700551866323,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700551870012,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700551894453,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700551897988,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700551899425,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700551924930,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700551949151,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700551969154,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700551981010,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700552016295,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700552035251,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700552065195,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700552068003,245390003868,3,-62,865.7,192.168.0.10
1579700552093130,245390003868,3,-62,865.7,192.168.0.10
1579700552095938,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579700552128113,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700552131119,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700552134000,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700552152620,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700552154888,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700552156385,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700552183326,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700552208504,300000000000000000017882,1,-62,865.7,192.168.0.10
1579700552337758,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700552356717,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700552383199,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700552415328,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700552447363,245390003868,3,-61.5,865.7,192.168.0.10
1579700552450680,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700552470736,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700552488575,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700552491752,245390003868,3,-62,865.7,192.168.0.10
1579700552510364,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700552537180,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700552539434,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700552541424,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700552560571,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700552562554,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700552563661,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700552599761,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700552609629,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700552630450,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700552643610,300000000000000000017882,1,-62,865.7,192.168.0.10
1579700552675327,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700552688411,245390003868,2,-61.5,865.7,192.168.0.10
1579700552701095,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700552726651,245390003868,2,-61.5,865.7,192.168.0.10
1579700552745908,245390003868,3,-61.5,865.7,192.168.0.10
1579700552766480,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700552779525,300000000000000000017861,3,-64,865.7,192.168.0.10
1579700552794996,245390003868,3,-62,865.7,192.168.0.10
1579700552810312,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700552828349,300000000000000000017861,3,-64,865.7,192.168.0.10
1579700552852591,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700552853831,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700552855181,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700552883227,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579700552884991,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700552886370,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579700552923652,300000000000000000017859,1,-55.5,865.7,192.168.0.10
1579700552940580,300000000000000000017882,1,-62,865.7,192.168.0.10
1579700552959410,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700552983023,300000000000000000017882,1,-62,865.7,192.168.0.10
1579700553009044,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700553010262,245390003868,2,-59.5,865.7,192.168.0.10
1579700553036598,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700553040897,245390003868,2,-59.5,865.7,192.168.0.10
1579700553076782,245390003868,3,-61.5,865.7,192.168.0.10
1579700553095830,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700553107054,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700553123343,245390003868,3,-61.5,865.7,192.168.0.10
1579700553141461,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700553158202,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700553178179,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700553179834,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700553181413,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700553209037,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700553212113,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579700553214068,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700553247690,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700553264945,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700553287860,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700553308742,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700553335880,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700553357026,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700553389197,245390003868,3,-62.5,865.7,192.168.0.10
1579700553394026,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579700553415929,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700553430749,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700553435838,245390003868,3,-62.5,865.7,192.168.0.10
1579700553454027,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700553480942,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700553483172,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700553485107,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579700553503261,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700553505096,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700553508914,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700553542489,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700553567097,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700553586814,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700553609807,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700553630831,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700553652345,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700553678058,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579700553680389,245390003868,3,-62,865.7,192.168.0.10
1579700553704878,300000000000000000017861,3,-63.5,865.7,192.168.0.10
1579700553723554,245390003868,3,-62,865.7,192.168.0.10
1579700553740719,300000000000000000017861,3,-63,865.7,192.168.0.10
1579700553755565,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700553774068,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700553778481,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579700553779773,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700553807326,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700553808434,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700553809841,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700553858451,300000000000000000017859,1,-56,865.7,192.168.0.10
1579700553871458,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700553916908,300000000000000000017859,1,-56,865.7,192.168.0.10
1579700553926657,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700553954099,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700553983296,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700554017484,245390003868,3,-62,865.7,192.168.0.10
1579700554032173,30000000000000000001785C,3,-56.5,865.7,192.168.0.10
1579700554045061,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700554070206,245390003868,3,-62,865.7,192.168.0.10
1579700554085930,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700554102338,30000000000000000001785C,3,-56.5,865.7,192.168.0.10
1579700554141651,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579700554151317,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700554166234,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700554174919,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700554178023,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579700554213875,300000000000000000017859,1,-55.5,865.7,192.168.0.10
1579700554235081,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700554253448,300000000000000000017859,1,-55.5,865.7,192.168.0.10
1579700554277335,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700554298461,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700554323407,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700554362824,245390003868,3,-62,865.7,192.168.0.10
1579700554374897,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700554403313,245390003868,3,-62,865.7,192.168.0.10
1579700554423834,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700554445562,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700554448772,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700554451093,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700554475919,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700554479359,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700554480541,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700554510565,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700554529491,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700554547640,300000000000000000017859,1,-55.5,865.7,192.168.0.10
1579700554607330,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700554645452,245390003868,3,-62,865.7,192.168.0.10
1579700554657538,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700554684327,245390003868,3,-62,865.7,192.168.0.10
1579700554699435,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700554730594,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700554731929,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700554733152,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700554757812,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700554760900,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700554762351,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700554798231,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700554810077,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700554837039,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700554892137,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700554921479,245390003868,3,-61.5,865.7,192.168.0.10
1579700554943254,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700554962327,245390003868,3,-62,865.7,192.168.0.10
1579700554983484,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700555009868,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700555013268,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700555015573,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700555035476,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700555036587,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700555038422,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700555076288,300000000000000000017859,1,-55.5,865.7,192.168.0.10
1579700555095811,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700555112508,300000000000000000017859,1,-55.5,865.7,192.168.0.10
1579700555129633,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700555161881,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700555171992,245390003868,2,-62,865.7,192.168.0.10
1579700555197681,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700555225494,245390003868,3,-61.5,865.7,192.168.0.10
1579700555243515,30000000000000000001785C,3,-56.5,865.7,192.168.0.10
1579700555265149,245390003868,3,-62,865.7,192.168.0.10
1579700555280443,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700555309710,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700555310817,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700555314620,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700555342908,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700555344728,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700555345809,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700555378578,300000000000000000017859,1,-55.5,865.7,192.168.0.10
1579700555406804,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700555417452,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700555442047,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700555467508,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700555492201,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700555503363,245390003868,2,-61.5,865.7,192.168.0.10
1579700555531349,245390003868,3,-61.5,865.7,192.168.0.10
1579700555544255,30000000000000000001785C,3,-56.5,865.7,192.168.0.10
1579700555565253,245390003868,3,-61,865.7,192.168.0.10
1579700555582983,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700555613268,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700555614364,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700555615766,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700555644553,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700555646046,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700555648238,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700555701186,300000000000000000017859,1,-56.5,865.7,192.168.0.10
1579700555725903,300000000000000000017859,1,-56,865.7,192.168.0.10
1579700555757955,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700555771444,245390003868,2,-61.5,865.7,192.168.0.10
1579700555797064,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700555806953,245390003868,2,-61.5,865.7,192.168.0.10
1579700555838910,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700555840025,245390003868,3,-61.5,865.7,192.168.0.10
1579700555864610,245390003868,3,-61,865.7,192.168.0.10
1579700555865991,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700555904920,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700555907322,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700555908404,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700555925992,30000000000000000001785D,4,-61,865.7,192.168.0.10
